"","user","sentimentA"
"1030","HazardProtocol",0
"1032","HealthyMama7",1
"1033","Heath_JS_",2
"1034","HeatherPavelich",1
"1035","hecubus1st",0
"1036","HeForThee",0
"1038","heinousjay",1
"1040","Heiwajima_Neroo",2
"1041","hellaime",1
"1042","hellakristelle",-1
"1043","hellion2172",1
"1044","hellosophie",0
"1045","HenryIrelan",-1
"1046","HenryLorenz",0
"1047","HEPennypacker84",-2
"1048","herder_of_cats",1
"1049","hex_tano",0
"1050","heyyalma",0
"1051","hierodula",0
"1052","HillbillyJeebus",0
"1053","HintonBuddy",-1
"1054","hipequanimous",1
"1055","hizzweiner",-2
"1056","HKAdriansen",2
"1057","HkppLuv",0
"1059","HMuery",-2
"1061","holmanland",1
"1062","holymoze",0
"1063","HomewardBound16",2
"1064","honky",0
"1065","HoodlyWho",0
"1066","hopesdeleted",1
"1067","HordeboyRiot",0
"1068","horsewithnonick",0
"1069","HotYogaCat",-1
"1070","HowmanGregg",-1
"1071","HPluckrose",0
"1072","HSCP6",0
"1073","hstylesukco",0
"1074","HueManjf",0
"1075","HulkSMASH7787",-2
"1076","HunterIXVII",-2
"1077","Husjojola",1
"1078","HustlinMike",2
"1079","hydrogenbombwar",-1
"1080","I_I_Rubin",1
"1081","iamadandylion",0
"1082","iamenuff",-1
"1084","IamMohit_Uppal",2
"1085","IAmRobStadnyk",1
"1086","IamWhoAlwaysIs",-1
"1087","ian_mckelvey",0
"1088","ianonloo",2
"1089","iansthename_57",0
"1090","IanWhetstone",-1
"1091","ibebrewen",1
"1092","ibumichele",1
"1093","ICEGS1811",2
"1094","iconiccreative",1
"1096","IimitI3ss",2
"1097","ike__chuks",1
"1098","ilumire",2
"1099","im_kirby",0
"1100","Im_Pubs",1
"1101","ImCandiceTho",-1
"1102","imeikle",2
"1103","ImissSanePPL",0
"1104","ImThatGuy21317",-1
"1105","Imusually",1
"1106","In2trux",2
"1107","incestishalal",-1
"1108","Indianafortrump",2
"1109","indiepxnk",-1
"1111","IneptOrange",2
"1112","InfinitumAnanas",2
"1113","infinitythestar",1
"1114","InklingIka",-1
"1115","InsomniacPsych0",-2
"1116","Inspectjavert",1
"1117","inthesedeserts",-1
"1118","IntoYourMouth",0
"1119","INTPfemale",0
"1120","IntroosiveThot",0
"1121","intrstller",1
"1122","iotornero",-1
"1123","IRE_Channel",1
"1124","Irgids",-1
"1125","Irishbeardedman",-2
"1126","IrishCrimson",0
"1127","IrishSQL",1
"1128","ironcathedral",0
"1129","ironManSixNueve",1
"1130","iscratchmymind",0
"1131","Isoban",2
"1132","ItaOKelly",1
"1133","ItBodes",0
"1134","ItLewisTbh",1
"1135","Its_Notmyfault",0
"1136","ItsAlexMendosa",-1
"1137","ItsAshy",0
"1138","ItsBassi",1
"1139","itsmealexand3of",0
"1140","itsmultani_",-1
"NA.2",NA,NA
"1142","ItzPattyKakez",-1
"1143","Iulia34808260",1
"1144","IvoryBlack5",-1
"1145","IvyShoots",0
"1146","IWantABurrowOwl",0
"1147","izcrazy701",-1
"1148","izonkeriam",-2
"1151","JackHann31",0
"1152","JackieMcNamara1",1
"1154","JacksBack654",-1
"1155","JackSwede",1
"1156","jacobed25",-1
"1157","JacobStormsTV",-1
"1158","JadaDoll345",-2
"1159","jaggedape",-2
"1160","jaguar986",-2
"1161","jaharha",2
"1162","Jaihawkk",1
"1163","jaiivy_league",1
"1164","Jake_Intenebris",-2
"1165","JakeAnthony1453",0
"1166","JakeBarger1",0
"1167","JakeDaDrumGod",0
"1168","jamejonson",0
"1169","james_0403",0
"1170","james0n2",1
"1171","jamesofearth2",-1
"1172","jamesso33",2
"1173","Jamie_ORourke",2
"1174","jamiethomas540",1
"1175","JaneM4Cor",2
"1176","JaniceIQuinn225",1
"1177","janjewson1",0
"1178","janmojo",0
"1179","Janusdnurste",1
"1181","jaslenmae",1
"1183","JasonIsCupidBoy",2
"1185","jasonogden",1
"1186","jayanthigp",0
"1187","jaydakota76",0
"1188","Jaydeeksy",0
"1189","JayFlaco23",2
"1191","jaynedoughboy",0
"1192","jaystopforth",0
"1193","jboydaustin",-1
"1194","jbrady_ct",2
